attempt,t,pend_deg,mode,pwm,v_bus
7,27.512,1.58,4,35,14.992
7,27.766,1.58,4,35,14.992
7,28.001,1.58,4,35,14.984
7,28.235,1.58,4,35,14.992
7,28.513,1.58,4,35,14.980
7,28.744,1.58,4,35,14.992
7,28.996,1.58,4,35,14.992
7,29.225,1.58,4,35,14.972
7,29.472,1.58,4,35,14.992
7,29.706,1.58,4,35,14.996
7,29.948,1.58,4,35,14.988
8,0.051,-2.46,5,59,14.780
8,0.284,-14.06,5,-56,14.896
8,0.512,43.59,5,58,14.712
8,0.738,-46.93,5,-54,14.924
8,0.964,74.53,5,-59,14.864
