sp,attempt,t,pend_deg,mode,pwm,v_bus
60,5,8.134,-4.04,4,20,15.016
60,5,8.394,-1.58,4,17,15.008
60,5,8.628,10.55,4,39,14.960
60,5,8.861,0.35,4,43,15.020
60,5,9.084,-3.69,4,19,15.016
60,5,9.345,1.23,4,44,14.908
60,5,9.573,2.46,4,41,14.944
60,5,9.819,5.98,4,39,14.960
60,5,10.041,0.35,4,40,14.948
60,5,10.267,0.53,4,41,14.944
60,5,10.518,0.00,4,40,15.016
60,5,10.764,3.69,4,39,14.960
60,5,10.993,0.35,4,39,14.956
60,5,11.215,0.35,4,40,14.952
60,5,11.439,0.18,4,40,14.952
60,5,11.670,3.69,4,39,14.960
60,5,11.899,0.35,4,40,14.952
60,5,12.120,-0.18,4,17,15.024
60,5,12.352,2.81,4,39,14.960
60,5,12.644,-0.18,4,17,15.024
60,5,12.958,1.41,4,39,14.960
60,5,13.186,1.93,4,39,14.960
60,5,13.413,-0.35,4,17,15.012
60,5,13.635,1.93,4,39,14.964
60,5,13.869,1.05,4,39,14.964
60,5,14.104,0.35,4,39,14.964
60,5,14.330,2.46,4,39,14.952
60,5,14.577,0.00,4,39,14.964
60,5,14.809,1.58,4,39,14.960
60,5,15.051,1.05,4,39,14.948
60,5,15.284,0.53,4,39,14.964
60,5,15.509,2.11,4,39,14.964
60,5,15.732,0.18,4,39,14.956
60,5,15.967,1.76,4,39,14.956
60,5,16.215,0.88,4,39,14.956
60,5,16.437,0.70,4,39,14.956
60,5,16.657,1.93,4,39,14.964
60,5,16.905,0.35,4,39,14.960
60,5,17.142,1.76,4,39,14.960
60,5,17.367,0.88,4,39,14.956
60,5,17.608,1.05,4,39,14.952
60,5,17.839,1.58,4,39,14.960
60,5,18.074,0.53,4,39,14.960
60,5,18.300,1.76,4,39,14.956
60,5,18.523,0.70,4,39,14.960
60,5,18.768,1.23,4,39,14.964
60,5,18.993,1.23,4,39,14.956
60,5,19.218,0.70,4,39,14.960
60,5,19.446,1.41,4,39,14.960
60,5,19.716,0.88,4,39,14.956
60,5,19.950,1.23,4,39,14.956
60,5,20.208,1.05,4,39,14.960
60,5,20.454,1.05,4,39,14.960
60,5,20.746,1.05,4,39,14.964
60,5,20.975,1.05,4,39,14.956
60,5,21.210,1.23,4,39,14.960
60,5,21.452,1.05,4,39,14.960
60,5,21.749,1.23,4,39,14.960
60,5,21.974,1.05,4,39,14.956
60,5,22.212,1.05,4,39,14.956
60,5,22.454,1.05,4,39,14.956
60,5,22.684,1.05,4,39,14.960
60,5,22.909,1.05,4,39,14.956
60,5,23.167,1.05,4,39,14.956
60,5,23.404,1.05,4,39,14.960
60,5,23.631,1.05,4,39,14.960
60,5,23.867,1.05,4,39,14.960
60,5,24.113,1.05,4,39,14.960
60,5,24.345,1.05,4,39,14.960
60,5,24.581,1.05,4,39,14.936
60,5,24.819,1.05,4,39,14.960
60,5,25.045,1.05,4,39,14.960
60,5,25.281,1.05,4,39,14.956
60,5,25.522,1.05,4,39,14.960
60,5,25.777,1.05,4,39,14.960
60,5,26.035,1.05,4,39,14.960
60,5,26.261,1.05,4,39,14.956
60,5,26.487,1.05,4,39,14.956
60,5,26.731,1.05,4,39,14.960
60,5,26.965,1.23,4,39,14.960
60,5,27.202,1.05,4,39,14.960
60,5,27.433,1.41,4,39,14.956
60,5,27.678,0.88,4,39,14.956
60,5,27.900,1.41,4,39,14.956
60,5,28.132,1.05,4,39,14.960
60,5,28.360,0.70,4,39,14.936
60,5,28.609,1.58,4,39,14.956
60,5,28.849,0.70,4,39,14.960
60,5,29.137,1.41,4,39,14.960
60,5,29.384,0.88,4,39,14.960
60,5,29.614,1.23,4,39,14.960
60,5,29.851,1.23,4,39,14.960
60,6,0.038,0.35,5,-59,14.856
60,6,0.279,-2.11,5,58,14.744
60,6,0.512,-23.03,5,-59,14.860
60,6,0.745,63.10,5,-31,14.736
60,6,0.998,-99.14,5,-56,14.868
60,6,1.225,80.51,5,-59,14.856
60,6,1.479,52.91,5,59,14.732
60,6,1.747,-148.36,5,-55,15.000
60,6,1.973,-45.18,5,-57,14.904
60,6,2.230,152.23,4,-22,15.016
60,6,2.453,-8.96,4,-18,15.016
60,6,2.697,-142.73,4,-46,14.980
60,6,2.920,60.82,4,-35,15.012
60,6,3.152,36.91,4,-19,15.016
60,6,3.381,-72.42,4,-58,14.868
60,6,3.629,81.74,4,-40,15.012
60,6,3.865,-69.43,4,-48,14.972
60,6,4.102,24.96,4,-36,15.012
60,6,4.327,-19.69,4,-20,15.020
60,6,4.580,19.16,4,-46,14.996
60,6,4.807,-24.08,4,-21,15.012
60,6,5.036,15.82,4,-42,15.012
60,6,5.268,-25.66,4,-19,15.016
60,6,5.501,18.98,4,-39,15.012
60,6,5.730,-24.79,4,-46,14.984
60,6,5.967,23.20,4,-17,15.016
60,6,6.236,-9.84,4,-44,15.000
60,6,6.467,-6.15,4,-18,15.016
