t,pend,servo,mode,pwm,v
45.552,-2.29,-5.62,5,19,14.77
45.63,-2.29,-5.98,5,-17,14.77
45.733,1.41,-4.75,5,-17,14.77
45.813,2.81,-4.39,5,-34,14.76
45.904,1.41,-5.1,5,19,14.77
45.994,-1.23,-5.45,5,35,14.77
46.084,-2.46,-5.98,5,35,14.75
46.166,-1.76,-6.68,5,-33,14.76
46.237,2.29,-5.1,5,-17,14.76
46.309,3.52,-4.92,5,-34,14.78
46.408,1.05,-5.8,5,19,14.77
46.483,-1.23,-5.8,5,35,14.77
46.567,-2.64,-5.8,5,35,14.77
46.645,-2.29,-6.33,5,-16,14.78
46.719,1.23,-5.1,5,-17,14.78
46.797,3.34,-4.57,5,-34,14.76
46.87,2.29,-4.92,5,19,14.77
46.97,-0.88,-5.45,5,19,14.76
47.042,-2.29,-5.45,5,19,14.76
47.123,-2.46,-5.62,5,-33,14.77
47.212,0.0,-4.92,5,-17,14.77
47.289,2.64,-4.22,5,-17,14.77
47.377,1.93,-4.57,5,19,14.76
47.45,-0.35,-5.27,5,19,14.77
47.536,-1.76,-5.45,5,19,14.75
47.621,-2.64,-6.33,5,-33,14.76
47.702,0.18,-5.62,5,-17,14.75
47.803,3.34,-4.75,5,-34,14.76
47.876,1.93,-5.27,5,19,14.76
47.963,-0.53,-5.62,5,35,14.77
48.038,-2.11,-5.62,5,35,14.76
48.113,-2.46,-5.8,5,-33,14.76
48.191,-0.35,-5.27,5,-17,14.77
48.29,2.81,-4.22,5,-17,14.77
48.382,1.58,-4.75,5,19,14.77
48.469,-0.53,-5.27,5,19,14.76
48.546,-2.11,-5.45,5,35,14.74
48.621,-2.81,-6.5,5,-16,14.76
48.696,0.18,-5.8,5,-17,14.76
48.784,3.34,-4.75,5,-34,14.77
48.867,2.46,-5.27,5,35,14.76
48.948,-0.53,-5.98,5,19,14.78
49.028,-1.93,-5.8,5,35,14.74
49.106,-2.99,-6.5,5,18,14.74
49.192,-0.35,-5.98,5,-17,14.77
49.283,3.16,-4.75,5,-17,14.77
49.354,2.64,-5.1,5,19,14.77
49.436,-0.18,-5.98,5,19,14.76
49.522,-1.93,-5.8,5,19,14.74
49.604,-2.81,-6.33,5,35,14.74
49.686,-0.35,-6.15,5,-16,14.78
49.789,3.34,-4.75,5,-17,14.77
49.863,2.46,-5.27,5,35,14.77
49.942,-0.35,-6.15,5,18,14.77
50.019,-1.93,-5.98,5,35,14.76
50.098,-2.81,-6.33,5,18,14.74
50.192,0.0,-5.98,5,-17,14.76
50.264,3.16,-4.92,5,-34,14.77
50.333,3.16,-4.92,5,-34,14.77
50.415,0.53,-5.62,5,19,14.77
50.493,-1.41,-5.62,5,19,14.77
