t,pend,servo,mode,pwm,v
38.054,-2.64,-6.15,5,35,14.74
38.147,-2.64,-7.21,5,-25,14.77
38.219,0.88,-6.33,5,-26,14.77
38.301,3.87,-5.27,5,-26,14.76
38.377,2.64,-5.8,5,28,14.76
38.448,-0.53,-6.86,5,29,14.75
38.531,-2.81,-6.68,5,35,14.74
38.611,-3.16,-6.86,5,35,14.75
38.698,-0.7,-6.86,5,-25,14.76
38.805,3.52,-5.27,5,-26,14.76
38.882,2.29,-5.62,5,28,14.76
38.978,-1.23,-6.5,5,28,14.76
39.052,-3.16,-6.33,5,28,14.74
39.125,-3.16,-6.86,5,35,14.68
39.217,-0.53,-6.5,5,-26,14.76
39.306,3.87,-5.1,5,-33,14.76
39.389,2.46,-5.8,5,28,14.76
39.476,-1.23,-6.68,5,29,14.76
39.567,-2.99,-6.5,5,35,14.76
39.646,-2.81,-6.86,5,-33,14.76
39.722,0.7,-5.98,5,-26,14.76
39.802,3.52,-4.92,5,-34,14.76
39.88,2.29,-5.27,5,28,14.75
39.982,-1.58,-6.33,5,28,14.76
40.075,-3.16,-6.33,5,35,14.74
40.155,-2.46,-6.86,5,-25,14.76
40.229,1.05,-5.98,5,-26,14.76
40.304,3.87,-5.1,5,-33,14.76
40.384,2.11,-5.8,5,28,14.76
40.458,-1.05,-6.5,5,28,14.73
40.536,-2.64,-6.33,5,35,14.75
40.625,-2.99,-6.5,5,35,14.74
40.716,0.35,-6.15,5,-26,14.76
40.807,3.69,-4.92,5,-26,14.76
40.903,1.76,-5.62,5,28,14.76
40.988,-1.58,-6.5,5,28,14.76
41.061,-2.81,-6.33,5,35,14.74
41.147,-2.81,-6.86,5,-33,14.76
41.222,0.88,-5.98,5,-26,14.76
41.312,3.69,-4.92,5,-34,14.76
41.398,2.29,-5.45,5,28,14.76
41.475,-1.41,-6.33,5,28,14.77
41.548,-2.81,-6.15,5,28,14.74
41.66,-2.81,-6.86,5,-33,14.76
41.741,1.76,-5.45,5,-26,14.77
41.817,3.69,-4.92,5,-34,14.77
41.905,1.58,-5.62,5,28,14.76
42.001,-1.93,-6.5,5,28,14.76
42.075,-2.99,-6.33,5,35,14.74
42.15,-2.46,-6.68,5,-33,14.76
42.237,1.76,-5.45,5,-26,14.76
42.324,3.52,-4.75,5,-34,14.76
42.398,1.41,-5.62,5,28,14.76
42.489,-1.41,-6.15,5,28,14.76
42.565,-2.81,-6.15,5,35,14.74
42.647,-2.81,-7.03,5,-33,14.76
42.743,1.93,-5.8,5,-26,14.76
